dataset,model,params,band_low,band_high,band_acc,band_epoch,band_entered,epochs_used,wall_s,soft_acc,hard_acc,delta_hard,roundtrip_diff,final_val_acc,seed,sub_label
mnist,circuit,1514,0.7,0.95,0.701200008392334,17.0,True,18,121.22361707687378,0.7012,0.6997,-0.0015,0.0,0.701200008392334,0,mnist
mnist,cnn_matched,1474,0.7,0.95,,,False,50,200.64512419700625,0.6341,,,0.0,0.6341000199317932,0,mnist
cifar10,circuit,98538,0.5,0.8,0.5525000095367432,1.0,True,2,35.87398076057434,0.5524,0.5465,-0.0059,0.0,0.5525000095367432,0,cifar10
cifar10,cnn_matched,96845,0.5,0.8,0.5184999704360962,4.0,True,5,33.998281717300415,0.5185,,,0.0,0.5184999704360962,0,cifar10
mnist,circuit,1514,0.7,0.95,0.7005000114440918,16.0,True,17,115.35082364082336,0.7005,0.679,-0.0215,0.0,0.7005000114440918,1,mnist
mnist,cnn_matched,1474,0.7,0.95,,,False,50,198.14196109771729,0.613,,,0.0,0.6129999756813049,1,mnist
cifar10,circuit,98538,0.5,0.8,0.5551999807357788,1.0,True,2,36.07286882400513,0.5552,0.5546,-0.0006,0.0,0.5551999807357788,1,cifar10
cifar10,cnn_matched,96845,0.5,0.8,0.5303000211715698,1.0,True,2,21.158647775650024,0.5303,,,0.0,0.5303000211715698,1,cifar10
mnist,circuit,1514,0.7,0.95,0.7008000016212463,19.0,True,20,132.2211241722107,0.7008,0.7003,-0.0005,0.0,0.7008000016212463,2,mnist
mnist,cnn_matched,1474,0.7,0.95,,,False,50,199.6439995765686,0.5942,,,0.0,0.5942000150680542,2,mnist
cifar10,circuit,98538,0.5,0.8,0.5485000014305115,1.0,True,2,36.11206126213074,0.5484,0.5528,0.0044,0.0,0.5485000014305115,2,cifar10
cifar10,cnn_matched,96845,0.5,0.8,0.5002999901771545,4.0,True,5,33.30705690383911,0.5003,,,0.0,0.5002999901771545,2,cifar10
mnist,circuit,1514,0.7,0.95,0.7008000016212463,22.0,True,23,149.30455088615415,0.7008,0.7005,-0.0003,0.0,0.7008000016212463,3,mnist
mnist,cnn_matched,1474,0.7,0.95,,,False,50,198.10374069213867,0.6311,,,0.0,0.6310999989509583,3,mnist
cifar10,circuit,98538,0.5,0.8,0.5313000082969666,1.0,True,2,35.83439874649048,0.5313,0.5311,-0.0002,0.0,0.5313000082969666,3,cifar10
cifar10,cnn_matched,96845,0.5,0.8,0.5497999787330627,2.0,True,3,25.357869625091556,0.5498,,,0.0,0.5497999787330627,3,cifar10
mnist,circuit,1514,0.7,0.95,0.7002000212669373,21.0,True,22,143.7356185913086,0.7002,0.5553,-0.1449,0.0,0.7002000212669373,4,mnist
mnist,cnn_matched,1474,0.7,0.95,,,False,50,197.71835708618164,0.6043,,,0.0,0.6043000221252441,4,mnist
cifar10,circuit,98538,0.5,0.8,0.5626000165939331,1.0,True,2,36.40626358985901,0.5626,0.5615,-0.0011,0.0,0.5626000165939331,4,cifar10
cifar10,cnn_matched,96845,0.5,0.8,0.567799985408783,1.0,True,2,21.144974946975708,0.5678,,,0.0,0.567799985408783,4,cifar10
