task,model,params,band_low,band_high,band_acc,band_epoch,band_entered,epochs_used,wall_s,soft_acc,hard_acc,delta_hard,roundtrip_diff,circuit_suff_auc,circuit_comp_auc,circuit_sparsity,circuit_stability,circuit_wall_s,lime_suff_auc,lime_comp_auc,lime_sparsity,lime_stability,lime_wall_s,shap_suff_auc,shap_comp_auc,shap_sparsity,shap_stability,shap_wall_s,seed
mux_11bit,circuit,673,0.7,0.95,0.7568359375,1,True,2,12.544368982315063,0.756836,0.759766,0.00293,0.0,0.637733,0.408743,0.925048,0.395474,37.66,0.578252,0.370662,0.920289,0.434039,30.96,0.636522,0.371449,0.849254,0.480322,44.48,0
parity_k8,circuit,577,0.7,0.95,0.7646484375,2,True,3,13.084448337554932,0.764648,0.799805,0.035156,0.0,0.572158,0.133328,0.912262,0.051677,31.14,0.550853,0.127118,0.868457,-0.149769,26.6,0.562725,0.150179,0.871355,0.020318,40.94,0
random_dnf_8input_4term,circuit,577,0.7,0.95,0.763671875,0,True,1,12.413869380950928,0.763672,0.765625,0.001953,0.0,0.602355,0.196926,0.858321,0.256248,30.67,0.576198,0.198646,0.845334,0.21592,26.87,0.581996,0.201113,0.781605,0.274052,41.22,0
mux_11bit,circuit,673,0.7,0.95,0.7880859375,1,True,2,12.78177523612976,0.788086,0.791016,0.00293,0.0,0.690266,0.155798,0.87649,0.557245,37.36,0.615779,0.164897,0.907989,0.621492,31.33,0.651124,0.182811,0.858623,0.595909,46.22,1
parity_k8,circuit,577,0.7,0.95,0.76953125,2,True,3,12.78716206550598,0.769531,0.785156,0.015625,0.0,0.548004,0.09093,0.890914,0.164209,31.22,0.551381,0.099354,0.902187,0.167391,27.06,0.549308,0.107776,0.874726,0.14852,41.62,1
random_dnf_8input_4term,circuit,577,0.7,0.95,0.8115234375,0,True,1,12.718286037445068,0.811523,0.804688,-0.006836,0.0,0.75799,0.241317,0.886543,0.623443,31.44,0.76712,0.264452,0.878843,0.585248,27.09,0.745759,0.263669,0.872611,0.55577,42.24,1
mux_11bit,circuit,673,0.7,0.95,0.7138671875,0,True,1,12.428511381149292,0.713867,0.708984,-0.004883,0.0,0.684645,0.054598,0.913019,0.481143,37.88,0.645144,0.075869,0.927167,0.583016,31.26,0.690676,0.11575,0.833983,0.497419,45.92,2
parity_k8,circuit,577,0.7,0.95,0.8134765625,3,True,4,13.242064237594604,0.813477,0.811523,-0.001953,0.0,0.565784,0.164759,0.901143,-0.135749,31.8,0.524721,0.187642,0.851851,-0.432795,27.27,0.56572,0.200284,0.900757,0.083484,41.79,2
random_dnf_8input_4term,circuit,577,0.7,0.95,0.796875,0,True,1,12.28797960281372,0.796875,0.794922,-0.001953,0.0,0.700603,0.204724,0.89558,0.450573,31.6,0.692532,0.212971,0.833781,0.556323,27.34,0.653241,0.172022,0.867928,0.4954,42.13,2
mux_11bit,circuit,673,0.7,0.95,0.7373046875,0,True,1,12.328937530517578,0.737305,0.732422,-0.004883,0.0,0.59169,0.063879,0.928872,0.338444,37.9,0.554091,0.051441,0.97134,0.421228,31.54,0.589339,0.070294,0.873125,0.376267,46.01,3
parity_k8,circuit,577,0.7,0.95,0.703125,2,True,3,12.880180835723875,0.703125,0.722656,0.019531,0.0,0.553626,0.088506,0.896149,0.273147,31.3,0.537139,0.040666,0.883499,0.335509,27.37,0.552531,0.060872,0.872987,0.240482,41.86,3
random_dnf_8input_4term,circuit,577,0.7,0.95,0.7412109375,0,True,1,12.365625381469728,0.741211,0.75,0.008789,0.0,0.670722,0.225512,0.88206,0.446795,31.34,0.683566,0.247752,0.850568,0.496128,27.38,0.667528,0.233229,0.812374,0.468484,42.2,3
mux_11bit,circuit,673,0.7,0.95,0.7578125,1,True,2,12.758164405822754,0.757812,0.761719,0.003906,0.0,0.669013,0.114301,0.89649,0.578298,37.29,0.65562,0.135271,0.932418,0.719138,30.88,0.66361,0.153907,0.875124,0.649047,45.11,4
parity_k8,circuit,577,0.7,0.95,0.7216796875,2,True,3,12.851680994033812,0.72168,0.726562,0.004883,0.0,0.523799,0.061136,0.885288,-0.025115,31.14,0.516562,0.070111,0.865937,-0.081427,27.18,0.524901,0.070955,0.871555,0.163145,41.23,4
random_dnf_8input_4term,circuit,577,0.7,0.95,0.7216796875,0,True,1,12.669559955596924,0.72168,0.717773,-0.003906,0.0,0.61612,0.060489,0.854867,0.476297,31.28,0.605232,0.060321,0.816138,0.462994,27.14,0.541993,-0.006516,0.792139,0.434903,41.77,4
