problem,model,seed,params,epochs_used,wall_s,test_acc,rule_recovery_exact,rule_recovery_acc,rule_recovery_hamming,rule_tp,rule_tn,rule_fp,rule_fn,hard_test_acc,hard_rule_recovery_acc,hard_soft_delta,roundtrip_diff,to_symbolic
1,circuit,0,865,195,46.87,0.9930555820465088,False,0.9930555555555556,3,215,214,2,1,0.9907407164573669,0.9907407407407407,-0.0023148655891418457,0.0,depth 0: |   logic_op_0: xor(0.194) |   logic_op_1: xor(0.194) |   arithmetic_op_0: max(0.375) |   arithmetic_op_1: max(0.375) |   combination: logic_op_0(0.303) | depth 1: |   logic_op_0: xor(0.196) |   logic_op_1: xor(0.196) |   arithmetic_op_0: max(0.392) |   arithmetic_op_1: max(0.392) |   combination: logic_op_0(0.315)
1,circuit,1,865,91,33.01,0.9976851940155029,False,0.9976851851851852,1,216,215,1,0,0.9976851940155029,0.9976851851851852,0.0,0.0,depth 0: |   logic_op_0: or(0.192) |   logic_op_1: or(0.192) |   arithmetic_op_0: max(0.342) |   arithmetic_op_1: max(0.342) |   combination: logic_op_0(0.260) | depth 1: |   logic_op_0: xor(0.182) |   logic_op_1: xor(0.182) |   arithmetic_op_0: add(0.337) |   arithmetic_op_1: add(0.337) |   combination: logic_op_0(0.255)
1,circuit,2,865,132,37.68,0.9953703880310059,False,0.9953703703703703,2,216,214,2,0,0.9953703880310059,0.9953703703703703,0.0,0.0,depth 0: |   logic_op_0: nand(0.187) |   logic_op_1: nand(0.187) |   arithmetic_op_0: max(0.361) |   arithmetic_op_1: max(0.361) |   combination: logic_op_0(0.285) | depth 1: |   logic_op_0: nand(0.293) |   logic_op_1: nand(0.293) |   arithmetic_op_0: max(0.428) |   arithmetic_op_1: max(0.428) |   combination: logic_op_0(0.341)
1,mlp_matched,0,862,136,20.78,1.0,True,1.0,0,216,216,0,0,,,,0.0,mlp_matched hidden=21
1,mlp_matched,1,862,135,19.4,0.9976851940155029,False,0.9976851851851852,1,216,215,1,0,,,,0.0,mlp_matched hidden=21
1,mlp_matched,2,862,100,16.19,1.0,True,1.0,0,216,216,0,0,,,,0.0,mlp_matched hidden=21
1,xgboost,0,2390,200,0.14,0.9490740740740741,False,0.9490740740740741,22,214,196,20,2,,,,0.0,"xgboost (200t, depth=4)"
1,xgboost,1,2390,200,0.14,0.9490740740740741,False,0.9490740740740741,22,214,196,20,2,,,,0.0,"xgboost (200t, depth=4)"
1,xgboost,2,2390,200,0.09,0.9490740740740741,False,0.9490740740740741,22,214,196,20,2,,,,0.0,"xgboost (200t, depth=4)"
2,circuit,0,865,117,36.52,1.0,True,1.0,0,142,290,0,0,1.0,1.0,0.0,0.0,depth 0: |   logic_op_0: xor(0.270) |   logic_op_1: xor(0.270) |   arithmetic_op_0: max(0.412) |   arithmetic_op_1: max(0.412) |   combination: logic_op_0(0.342) | depth 1: |   logic_op_0: nand(0.377) |   logic_op_1: nand(0.377) |   arithmetic_op_0: max(0.455) |   arithmetic_op_1: max(0.455) |   combination: logic_op_0(0.382)
